"year","country","pop","gdp"
2010,"USA",314.242013,12927.03013
2011,"USA",316.7982223,13164.031806
2012,"USA",319.3544316,13401.033481999999
2013,"USA",321.9106409,13638.035157999999
2014,"USA",324.4668502,13875.036834000002
2015,"USA",327.0230595,14112.03851
2016,"USA",329.7096093,14456.711990000002
2017,"USA",332.3961591,14801.38547
2018,"USA",335.0827089,15146.05895
2019,"USA",337.7692587,15490.73243
2020,"USA",340.4558085,15835.40591
2021,"USA",343.17598006000003,16161.526612
2022,"USA",345.89615162,16487.647314
2023,"USA",348.61632318,16813.768015999998
2024,"USA",351.33649474000003,17139.888718000002
2025,"USA",354.0566663,17466.00942
2026,"USA",356.68799738000007,17770.430934
2027,"USA",359.31932846,18074.852447999998
2028,"USA",361.95065954,18379.273962
2029,"USA",364.58199062000006,18683.695476
2030,"USA",367.2133217,18988.11699
2031,"USA",369.75405636000005,19321.888752
2032,"USA",372.29479102,19655.660514
2033,"USA",374.83552568,19989.432276
2034,"USA",377.37626034000004,20323.204038
2035,"USA",379.916995,20656.9758
2036,"USA",382.34650170000003,21003.886694
2037,"USA",384.7760084,21350.797588
2038,"USA",387.20551509999996,21697.708482000002
2039,"USA",389.63502180000006,22044.619376
2040,"USA",392.0645285,22391.53027
2041,"USA",394.32369846000006,22744.811279999998
2042,"USA",396.58286841999995,23098.09229
2043,"USA",398.84203837999996,23451.3733
2044,"USA",401.10120834,23804.65431
2045,"USA",403.3603783,24157.93532
2046,"USA",405.49148490000005,24476.78954
2047,"USA",407.6225915,24795.64376
2048,"USA",409.7536981,25114.49798
2049,"USA",411.8848047000001,25433.3522
2050,"USA",414.0159113,25752.20642
2051,"USA",416.08185764000007,26066.743896000004
2052,"USA",418.14780398000005,26381.281371999998
2053,"USA",420.21375032000003,26695.818848000003
2054,"USA",422.27969666000007,27010.356324000004
2055,"USA",424.345643,27324.8938
2056,"USA",426.39463738000006,27648.590530000005
2057,"USA",428.44363176,27972.287260000005
2058,"USA",430.49262614,28295.98399
2059,"USA",432.54162052000004,28619.680720000004
2060,"USA",434.5906149,28943.37745
2061,"USA",436.53363778000005,29292.916362000004
2062,"USA",438.47666066,29642.455274
2063,"USA",440.41968354000005,29991.994186000004
2064,"USA",442.36270642000005,30341.533098000004
2065,"USA",444.3057293,30691.07201
2066,"USA",446.10157972,31021.251910000003
2067,"USA",447.89743014,31351.431810000002
2068,"USA",449.69328055999995,31681.611709999997
2069,"USA",451.48913098,32011.791610000004
2070,"USA",453.2849814,32341.97151
2071,"USA",454.88835954,32653.028868
2072,"USA",456.49173767999997,32964.086226
2073,"USA",458.09511582000005,33275.143584000005
2074,"USA",459.69849396,33586.200942
2075,"USA",461.3018721,33897.2583
2076,"USA",462.49446012000004,34230.632762
2077,"USA",463.68704814,34564.007224
2078,"USA",464.87963616,34897.381686
2079,"USA",466.07222418000003,35230.756148
2080,"USA",467.2648122,35564.13061
2081,"USA",467.97615392,35883.681062
2082,"USA",468.68749564,36203.231514
2083,"USA",469.39883736,36522.781966
2084,"USA",470.11017908,36842.332418000005
2085,"USA",470.8215208,37161.88287
2086,"USA",471.11996092000004,37481.664744
2087,"USA",471.41840104,37801.446618
2088,"USA",471.71684116,38121.228492
2089,"USA",472.01528128000007,38441.010366
2090,"USA",472.3137214,38760.79224
2091,"USA",472.12617262000003,39073.086326000004
2092,"USA",471.93862384,39385.380412
2093,"USA",471.75107506,39697.674498
2094,"USA",471.56352628,40009.968584
2095,"USA",471.3759775,40322.26267
2096,"USA",470.68687252,40616.183794
2097,"USA",469.99776754000004,40910.104918
2098,"USA",469.30866256,41204.026042
2099,"USA",468.61955758000005,41497.947166
2100,"USA",467.9304526,41791.86829
2101,"USA",467.2524390140954,42090.65118075793
2102,"USA",466.578866924927,42389.7520720851
2103,"USA",465.90974303175983,42689.16150622621
2104,"USA",465.245032631476,42988.8669637703
2105,"USA",464.5847017141156,43288.85599367088
2106,"USA",463.92871658045823,43589.11618447327
2107,"USA",463.2770438419899,43889.63516597278
2108,"USA",462.62965041747225,44190.40061056192
2109,"USA",461.9865035295851,44491.40023455685
2110,"USA",461.3475707016125,44792.621799500375
2111,"USA",460.7128197541684,45094.053113441434
2112,"USA",460.0822188019655,45395.68203219132
2113,"USA",459.45573625062366,45697.49646055634
2114,"USA",458.83334079351823,45999.4843535471
2115,"USA",458.21500140866823,46301.63371756451
2116,"USA",457.6006873556632,46603.932611562326
2117,"USA",456.9903681726287,46906.36914818652
2118,"USA",456.3840136732288,47208.93149489123
2119,"USA",455.7815939437067,47511.60787503176
2120,"USA",455.1830793399621,47814.3865689342
2121,"USA",454.5884404846637,48117.25591494213
2122,"USA",453.9976482643988,48420.20431044029
2123,"USA",453.4106738268572,48723.220212855296
2124,"USA",452.82748857805046,49026.29214063361
2125,"USA",452.2480641795649,49329.40867419669
2126,"USA",451.67237254584853,49632.55845687353
2127,"USA",451.1003858415316,49935.73019581066
2128,"USA",450.53207647877946,50238.91266285974
2129,"USA",449.9674171146784,50542.094695442735
2130,"USA",449.406380648653,50845.26519739498
2131,"USA",448.8489402199151,51148.41313978619
2132,"USA",448.295069204944,51451.527561719355
2133,"USA",447.7447412149971,51754.59757110797
2134,"USA",447.19793009365094,52057.61234543152
2135,"USA",446.654609914372,52360.561132469375
2136,"USA",446.1147549781168,52663.43325101332
2137,"USA",445.5783398109611,52966.218091558825
2138,"USA",445.0453391617579,53268.90511697526
2139,"USA",444.5157279998233,53571.48386315499
2140,"USA",443.9894815126503,53873.943939641824
2141,"USA",443.4665751036504,54176.27503023888
2142,"USA",442.94698438992174,54478.46689359579
2143,"USA",442.4306852000445,54780.509363775825
2144,"USA",441.9176535719022,55082.39235080269
2145,"USA",441.4078657505293,55384.10584118755
2146,"USA",440.9012981859845,55685.63989843619
2147,"USA",440.3979275312488,55986.98466353659
2148,"USA",439.8977306401495,56288.13035542712
2149,"USA",439.400684565308,56589.06727144551
2150,"USA",438.9067665561122,56889.78578775871
2151,"USA",438.4159540567129,57190.2763597741
2152,"USA",437.92822470404366,57490.52952253175
2153,"USA",437.4435563258646,57790.535891078514
2154,"USA",436.9619269388286,58090.286160823685
2155,"USA",436.48331474657016,58389.77110787663
2156,"USA",436.00769813781744,58688.98158936656
2157,"USA",435.5350556845257,58987.908543744634
2158,"USA",435.0653661400328,59286.54299106866
